time,d_fin,actuators_stamp,p_fin,s_fin,thruster,angular_velocity/x,angular_velocity/y,angular_velocity/z,imu_stamp,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,/riptide_1/imu_broadcaster/imu_status/orientation/pitch_deg,roll_orientation/deg,orientation/w,orientation/x,orientation/y,orientation/yaw_deg,orientation/z,depth,pressure_stamp,pressure
1681203552.13898,0,1681203552.13898,0,0,0,,,,,,,,,,,,,,,,,
1681203552.139,,,,,,,,,,,,,,,,,,,,1,1681203552.139,111110
1681203552.13901,,,,,,0,0,0,1681203552.13901,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.17898,0,1681203552.17898,0,0,0,,,,,,,,,,,,,,,,,
1681203552.17898,,,,,,,,,,,,,,,,,,,,1,1681203552.17898,111110
1681203552.17899,,,,,,0,0,0,1681203552.17899,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.22061,0,1681203552.22061,0,0,0,,,,,,,,,,,,,,,,,
1681203552.22062,,,,,,,,,,,,,,,,,,,,1,1681203552.22062,111110
1681203552.22063,,,,,,0,0,0,1681203552.22063,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.26242,0,1681203552.26242,0,0,0,,,,,,,,,,,,,,,,,
1681203552.26243,,,,,,,,,,,,,,,,,,,,1,1681203552.26243,111110
1681203552.26244,,,,,,0,0,0,1681203552.26244,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.30314,0,1681203552.30314,0,0,0,,,,,,,,,,,,,,,,,
1681203552.30315,,,,,,,,,,,,,,,,,,,,1,1681203552.30315,111110
1681203552.30316,,,,,,0,0,0,1681203552.30316,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.34307,0,1681203552.34307,0,0,0,,,,,,,,,,,,,,,,,
1681203552.34308,,,,,,,,,,,,,,,,,,,,1,1681203552.34308,111110
1681203552.3431,,,,,,0,0,0,1681203552.3431,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.38315,0,1681203552.38315,0,0,0,,,,,,,,,,,,,,,,,
1681203552.38317,,,,,,,,,,,,,,,,,,,,1,1681203552.38317,111110
1681203552.38318,,,,,,0,0,0,1681203552.38318,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.42304,0,1681203552.42304,0,0,0,,,,,,,,,,,,,,,,,
1681203552.42307,,,,,,,,,,,,,,,,,,,,1,1681203552.42307,111110
1681203552.42308,,,,,,0,0,0,1681203552.42308,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.46166,0,1681203552.46166,0,0,0,,,,,,,,,,,,,,,,,
1681203552.46167,,,,,,,,,,,,,,,,,,,,1,1681203552.46167,111110
1681203552.46168,,,,,,0,0,0,1681203552.46168,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.50218,0,1681203552.50218,0,0,0,,,,,,,,,,,,,,,,,
1681203552.50219,,,,,,,,,,,,,,,,,,,,1,1681203552.50219,111110
1681203552.5022,,,,,,0,0,0,1681203552.5022,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.54308,0,1681203552.54308,0,0,0,,,,,,,,,,,,,,,,,
1681203552.5431,,,,,,,,,,,,,,,,,,,,1,1681203552.5431,111110
1681203552.54311,,,,,,0,0,0,1681203552.54311,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.58313,0,1681203552.58313,0,0,0,,,,,,,,,,,,,,,,,
1681203552.58314,,,,,,,,,,,,,,,,,,,,1,1681203552.58314,111110
1681203552.58316,,,,,,0,0,0,1681203552.58316,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.62311,0,1681203552.62311,0,0,0,,,,,,,,,,,,,,,,,
1681203552.62312,,,,,,,,,,,,,,,,,,,,1,1681203552.62312,111110
1681203552.62313,,,,,,0,0,0,1681203552.62313,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.66298,0,1681203552.66298,0,0,0,,,,,,,,,,,,,,,,,
1681203552.66299,,,,,,,,,,,,,,,,,,,,1,1681203552.66299,111110
1681203552.663,,,,,,0,0,0,1681203552.663,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.70307,0,1681203552.70307,0,0,0,,,,,,,,,,,,,,,,,
1681203552.70308,,,,,,,,,,,,,,,,,,,,1,1681203552.70308,111110
1681203552.70309,,,,,,0,0,0,1681203552.70309,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.74309,0,1681203552.74309,0,0,0,,,,,,,,,,,,,,,,,
1681203552.7431,,,,,,,,,,,,,,,,,,,,1,1681203552.7431,111110
1681203552.74311,,,,,,0,0,0,1681203552.74311,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.78237,0,1681203552.78237,0,0,0,,,,,,,,,,,,,,,,,
1681203552.78239,,,,,,,,,,,,,,,,,,,,1,1681203552.78239,111110
1681203552.78241,,,,,,0,0,0,1681203552.78241,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.82304,0,1681203552.82304,0,0,0,,,,,,,,,,,,,,,,,
1681203552.82305,,,,,,,,,,,,,,,,,,,,1,1681203552.82305,111110
1681203552.82307,,,,,,0,0,0,1681203552.82307,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.86344,0,1681203552.86344,0,0,0,,,,,,,,,,,,,,,,,
1681203552.86345,,,,,,,,,,,,,,,,,,,,1,1681203552.86345,111110
1681203552.86347,,,,,,0,0,0,1681203552.86347,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.90298,0,1681203552.90298,0,0,0,,,,,,,,,,,,,,,,,
1681203552.903,,,,,,,,,,,,,,,,,,,,1,1681203552.903,111110
1681203552.90301,,,,,,0,0,0,1681203552.90301,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.94245,0,1681203552.94245,0,0,0,,,,,,,,,,,,,,,,,
1681203552.94246,,,,,,,,,,,,,,,,,,,,1,1681203552.94246,111110
1681203552.94247,,,,,,0,0,0,1681203552.94247,0,0,9.8,0,0,1,0,0,0,0,,,
1681203552.98293,0,1681203552.98293,0,0,0,,,,,,,,,,,,,,,,,
1681203552.98295,,,,,,,,,,,,,,,,,,,,1,1681203552.98295,111110
1681203552.98296,,,,,,0,0,0,1681203552.98296,0,0,9.8,0,0,1,0,0,0,0,,,
1681203553.02316,0,1681203553.02316,0,0,0,,,,,,,,,,,,,,,,,
1681203553.02318,,,,,,,,,,,,,,,,,,,,1,1681203553.02318,111110
1681203553.0232,,,,,,0,0,0,1681203553.0232,0,0,9.8,0,0,1,0,0,0,0,,,
