__time,/riptide_1/imu_broadcaster/imu_status/angular_velocity/x,/riptide_1/imu_broadcaster/imu_status/angular_velocity/y,/riptide_1/imu_broadcaster/imu_status/angular_velocity/z,/riptide_1/imu_broadcaster/imu_status/angular_velocity_covariance[0;0],/riptide_1/imu_broadcaster/imu_status/angular_velocity_covariance[0;1],/riptide_1/imu_broadcaster/imu_status/angular_velocity_covariance[0;2],/riptide_1/imu_broadcaster/imu_status/angular_velocity_covariance[1;1],/riptide_1/imu_broadcaster/imu_status/angular_velocity_covariance[1;2],/riptide_1/imu_broadcaster/imu_status/header/stamp,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/x,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/y,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/z,/riptide_1/imu_broadcaster/imu_status/orientation/pitch_deg,/riptide_1/imu_broadcaster/imu_status/orientation/roll_deg,/riptide_1/imu_broadcaster/imu_status/orientation/w,/riptide_1/imu_broadcaster/imu_status/orientation/x,/riptide_1/imu_broadcaster/imu_status/orientation/y,/riptide_1/imu_broadcaster/imu_status/orientation/yaw_deg,/riptide_1/imu_broadcaster/imu_status/orientation/z,/riptide_1/pressure_broadcaster/pressure_status/depth,/riptide_1/pressure_broadcaster/pressure_status/header/stamp,/riptide_1/pressure_broadcaster/pressure_status/pressure,/riptide_1/pressure_broadcaster/pressure_status/temperature,/riptide_1/tail_broadcaster/actuators_status/d_fin,/riptide_1/tail_broadcaster/actuators_status/header/stamp,/riptide_1/tail_broadcaster/actuators_status/p_fin,/riptide_1/tail_broadcaster/actuators_status/s_fin,/riptide_1/tail_broadcaster/actuators_status/thruster
1686731143.90124,,,,,,,,,,,,,,,,,,,,,,,,0,1686731143.90124,0,0,0
1686731143.90125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.90125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.90126,,,,,,,,,,,,,,,,,,,,0,1686731143.90126,101300,15,,,,,
1686731143.90127,0,0,0,0,0,0,0,0,1686731143.90127,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731143.94294,,,,,,,,,,,,,,,,,,,,,,,,0,1686731143.94294,0,0,0
1686731143.94295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.94296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.94296,,,,,,,,,,,,,,,,,,,,0,1686731143.94296,101300,15,,,,,
1686731143.94297,0,0,0,0,0,0,0,0,1686731143.94297,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731143.98156,,,,,,,,,,,,,,,,,,,,,,,,0,1686731143.98156,0,0,0
1686731143.98157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.98158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731143.98158,,,,,,,,,,,,,,,,,,,,0,1686731143.98158,101300,15,,,,,
1686731143.98159,0,0,0,0,0,0,0,0,1686731143.98159,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.02168,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.02168,0,0,0
1686731144.02169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.02169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.0217,,,,,,,,,,,,,,,,,,,,0,1686731144.0217,101300,15,,,,,
1686731144.0217,0,0,0,0,0,0,0,0,1686731144.0217,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.0615,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.0615,0,0,0
1686731144.06151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.06152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.06153,,,,,,,,,,,,,,,,,,,,0,1686731144.06153,101300,15,,,,,
1686731144.06154,0,0,0,0,0,0,0,0,1686731144.06154,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.10149,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.10149,0,0,0
1686731144.1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.10151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.10151,,,,,,,,,,,,,,,,,,,,0,1686731144.10151,101300,15,,,,,
1686731144.10152,0,0,0,0,0,0,0,0,1686731144.10152,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.14183,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.14183,0,0,0
1686731144.14184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.14185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.14186,,,,,,,,,,,,,,,,,,,,0,1686731144.14186,101300,15,,,,,
1686731144.14187,0,0,0,0,0,0,0,0,1686731144.14187,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.18247,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.18247,0,0,0
1686731144.18249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.18251,,,,,,,,,,,,,,,,,,,,0,1686731144.18251,101300,15,,,,,
1686731144.18252,0,0,0,0,0,0,0,0,1686731144.18252,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.22131,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.22131,0,0,0
1686731144.22133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.22135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.22135,,,,,,,,,,,,,,,,,,,,0,1686731144.22135,101300,15,,,,,
1686731144.22136,0,0,0,0,0,0,0,0,1686731144.22136,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.25801,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.25801,0,0,0
1686731144.25802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.25802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.25802,,,,,,,,,,,,,,,,,,,,0,1686731144.25802,101300,15,,,,,
1686731144.25803,0,0,0,0,0,0,0,0,1686731144.25803,0,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.29805,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.29805,0,0,1
1686731144.29806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.29806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.29806,,,,,,,,,,,,,,,,,,,,0,1686731144.29806,101300,15,,,,,
1686731144.29807,0,0,0,0,0,0,0,0,1686731144.29807,36.91099024,0,9.8,0,0,1,0,0,0,0,,,,,,,,,
1686731144.33817,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.33817,0.013646125,-0.013646125,1
1686731144.33817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.33818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.33818,,,,,,,,,,,,,,,,,,,,0.00042771,1686731144.33818,101304.1953125,15,,,,,
1686731144.33818,0,0.630854392,0,0,0,0,0,0,1686731144.33818,14.241560794,0,8.069864339,0.812089963,0,0.999974889,0,0.007086763,0,0,,,,,,,,,
1686731144.35839,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.3792,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.3792,0.020220237,-0.020220237,1
1686731144.37921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.37921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.37922,,,,,,,,,,,,,,,,,,,,0.003816492,1686731144.37922,101337.4375,15,,,,,
1686731144.37922,0,1.060707401,0,0,0,0,0,0,1686731144.37922,3.646621492,0,6.553303168,2.865083912,0,0.999687452,0,0.024999969,0,0,,,,,,,,,
1686731144.42195,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.42195,0.023643741,-0.023643741,1
1686731144.42198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.42199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.422,,,,,,,,,,,,,,,,,,,,0.012539336,1686731144.422,101423.0078125,15,,,,,
1686731144.42201,0,1.267034215,0,0,0,0,0,0,1686731144.42201,0.125875119,0,5.78334092,5.592185229,0,0.998809466,0,0.048781654,0,0,,,,,,,,,
1686731144.45898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.46205,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.46205,0.025035959,-0.025035959,1
1686731144.46207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.46207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.46208,,,,,,,,,,,,,,,,,,,,0.02767837,1686731144.46208,101571.5234375,15,,,,,
1686731144.46209,0,1.360740329,0,0,0,0,0,0,1686731144.46209,-1.195401852,0,5.395977632,8.630536047,0,0.997165118,0,0.075244451,0,0,,,,,,,,,
1686731144.50188,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.50188,0.026046788,-0.026046788,1
1686731144.50189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.5019,,,,,,,,,,,,,,,,,,,,0.049659207,1686731144.5019,101787.15625,15,,,,,
1686731144.50191,0,1.420732222,0,0,0,0,0,0,1686731144.50191,-1.939799047,0,5.101665992,11.831938946,0,0.994674128,0,0.103069776,0,0,,,,,,,,,
1686731144.54144,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.54144,0.026533678,-0.026533678,1
1686731144.54145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.54146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.54146,,,,,,,,,,,,,,,,,,,,0.078681514,1686731144.54146,102071.8671875,15,,,,,
1686731144.54147,0,1.45068497,0,0,0,0,0,0,1686731144.54147,-2.540451156,0,4.873468825,15.130788047,0,0.991295241,0,0.131657684,0,0,,,,,,,,,
1686731144.55891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.5821,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.5821,0.0267682,-0.0267682,1
1686731144.58211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.58212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.58213,,,,,,,,,,,,,,,,,,,,0.11479339,1686731144.58213,102426.125,15,,,,,
1686731144.58215,0,1.46494845,0,0,0,0,0,0,1686731144.58215,-3.101233936,0,4.662480213,18.475863556,0,0.987030202,0,0.160534671,0,0,,,,,,,,,
1686731144.62173,,,,,,,,,,,,,,,,,,,,,,,,0,1686731144.62173,0.018562311,-0.018562311,1
1686731144.62175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686731144.62175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
