stamp,d_fin,p_fin,s_fin,thruster
1686731143.90124,0,0,0,0
1686731143.94294,0,0,0,0
1686731143.98156,0,0,0,0
1686731144.02168,0,0,0,0
1686731144.0615,0,0,0,0
1686731144.10149,0,0,0,0
1686731144.14183,0,0,0,0
1686731144.18247,0,0,0,0
1686731144.22131,0,0,0,0
1686731144.25801,0,0,0,0
1686731144.29805,0,0,0,1
1686731144.33817,0,0.013646125,-0.013646125,1
1686731144.3792,0,0.020220237,-0.020220237,1
1686731144.42195,0,0.023643741,-0.023643741,1
1686731144.46205,0,0.025035959,-0.025035959,1
1686731144.50188,0,0.026046788,-0.026046788,1
1686731144.54144,0,0.026533678,-0.026533678,1
1686731144.5821,0,0.0267682,-0.0267682,1
1686731144.62173,0,0.018562311,-0.018562311,1
1686731144.6619,0,0.01460951,-0.01460951,1
1686731144.70218,0,0.009021701,-0.009021701,1
1686731144.74242,0,0.006330127,-0.006330127,1
1686731144.78079,0,0.00503366,-0.00503366,1
1686731144.8207,0,0.001547031,-0.001547031,1
1686731144.86123,0,-0.000132403,0.000132403,1
1686731144.90083,0,-0.001801406,0.001801406,1
1686731144.94079,0,-0.002605321,0.002605321,1
1686731144.97801,0,-0.002958141,0.002958141,1
1686731145.01804,0,-0.003366482,0.003366482,1
1686731145.059,0,-0.003563169,0.003563169,1
1686731145.10073,0,-0.003517641,0.003517641,1
1686731145.14054,0,-0.003499127,0.003499127,1
1686731145.18085,0,-0.003490209,0.003490209,1
1686731145.22241,0,-0.00324293,0.00324293,1
1686731145.26062,0,-0.003123823,0.003123823,1
1686731145.30072,0,-0.002972505,0.002972505,1
1686731145.34066,0,-0.00289962,0.00289962,1
1686731145.38096,0,-0.002864512,0.002864512,1
1686731145.42002,0,-0.002891226,0.002891226,1
1686731145.46096,0,-0.002907953,0.002907953,1
1686731145.50002,0,-0.003044389,0.003044389,1
1686731145.54012,0,-0.003123411,0.003123411,1
1686731145.57994,0,-0.003161473,0.003161473,1
1686731145.62074,0,-0.003532048,0.003532048,1
1686731145.66082,0,-0.003709056,0.003709056,1
1686731145.70115,0,-0.004115405,0.004115405,1
1686731145.74077,0,-0.004311132,0.004311132,1
1686731145.78081,0,-0.004405408,0.004405408,1
1686731145.821,0,-0.00499086,0.00499086,1
1686731145.8616,0,-0.005272856,0.005272856,1
1686731145.90108,0,-0.005808601,0.005808601,1
1686731145.93833,0,-0.006043727,0.006043727,1
1686731145.97759,0,-0.006179909,0.006179909,1
1686731146.01728,0,-0.006761487,0.006761487,1
1686731146.05775,0,-0.007041618,0.007041618,1
1686731146.09873,0,-0.007176549,0.007176549,1
1686731146.14129,0,-0.007591978,0.007591978,1
1686731146.18012,0,-0.007745907,0.007745907,1
1686731146.22078,0,-0.007863631,0.007863631,1
1686731146.26073,0,-0.007913106,0.007913106,1
1686731146.30059,0,-0.00775975,0.00775975,1
1686731146.34083,0,-0.007685882,0.007685882,1
1686731146.38075,0,-0.007650302,0.007650302,1
1686731146.42056,0,-0.007033856,0.007033856,1
1686731146.4616,0,-0.00673693,0.00673693,1
1686731146.50099,0,-0.006010343,0.006010343,1
1686731146.54001,0,-0.005691461,0.005691461,1
1686731146.58001,0,-0.005506769,0.005506769,1
1686731146.6208,0,-0.004463121,0.004463121,1
1686731146.66243,0,-0.003967639,0.003967639,1
1686731146.70087,0,-0.00307509,0.00307509,1
1686731146.74048,0,-0.002645173,0.002645173,1
