stamp,depth,pressure
1686731143.90126,0,101300
1686731143.94296,0,101300
1686731143.98158,0,101300
1686731144.0217,0,101300
1686731144.06153,0,101300
1686731144.10151,0,101300
1686731144.14186,0,101300
1686731144.18251,0,101300
1686731144.22135,0,101300
1686731144.25802,0,101300
1686731144.29806,0,101300
1686731144.33818,0.00042771,101304.1953125
1686731144.37922,0.003816492,101337.4375
1686731144.422,0.012539336,101423.0078125
1686731144.46208,0.02767837,101571.5234375
1686731144.5019,0.049659207,101787.15625
1686731144.54146,0.078681514,102071.8671875
1686731144.58213,0.11479339,102426.125
1686731144.62176,0.157655373,102846.6015625
1686731144.66193,0.205605194,103316.984375
1686731144.70221,0.257288516,103824
1686731144.74245,0.311432272,104355.1484375
1686731144.78083,0.36724633,104902.6875
1686731144.82073,0.424258411,105461.9765625
1686731144.86126,0.481768489,106026.1484375
1686731144.90086,0.539273441,106590.2734375
1686731144.94082,0.596388638,107150.5703125
1686731144.97802,0.652885437,107704.8046875
1686731145.01805,0.708642006,108251.78125
1686731145.05902,0.763563871,108790.5625
1686731145.10076,0.81760329,109320.6875
1686731145.14058,0.870758414,109842.140625
1686731145.18087,0.92303139,110354.9375
1686731145.22244,0.974429965,110859.15625
1686731145.26065,1.024997592,111355.2265625
1686731145.30075,1.074769735,111843.4921875
1686731145.3407,1.123778224,112324.265625
1686731145.38099,1.172042608,112797.734375
1686731145.42009,1.219569325,113263.9765625
1686731145.46099,1.266352892,113722.921875
1686731145.50008,1.31238246,114174.46875
1686731145.54015,1.357626915,114618.3203125
1686731145.57997,1.402062893,115054.234375
1686731145.62077,1.445665717,115481.984375
1686731145.66086,1.488361359,115900.828125
1686731145.70117,1.530083179,116310.1171875
1686731145.74079,1.570740819,116708.96875
1686731145.78084,1.610272288,117096.7734375
1686731145.82103,1.648626685,117473.03125
1686731145.86163,1.685681581,117836.5390625
1686731145.90115,1.721332908,118186.2734375
1686731145.93835,1.75545609,118521.0234375
1686731145.9776,1.787966609,118839.953125
1686731146.01729,1.818793654,119142.3671875
1686731146.05776,1.847806573,119426.984375
1686731146.09874,1.874919891,119692.9609375
1686731146.14132,1.900071979,119939.703125
1686731146.18015,1.92317152,120166.3125
1686731146.2208,1.944158673,120372.1953125
1686731146.26077,1.962997675,120557.0078125
1686731146.30061,1.979673624,120720.6015625
1686731146.34086,1.994210005,120863.203125
1686731146.38078,2.006625891,120985
1686731146.42059,2.016950846,121086.2890625
1686731146.46164,2.025309086,121168.28125
1686731146.50102,2.03181386,121232.09375
1686731146.54007,2.036627769,121279.3203125
1686731146.58003,2.039860964,121311.0390625
1686731146.62083,2.041600943,121328.1015625
1686731146.66247,2.04206562,121332.6640625
1686731146.7009,2.041436672,121326.4921875
1686731146.74052,2.039921999,121311.6328125
1686731146.77974,2.037658691,121289.4296875
1686731146.82056,2.034741402,121260.8125
1686731146.861,2.031365156,121227.6953125
1686731146.90086,2.027683735,121191.578125
1686731146.94032,2.023853064,121154
1686731146.98128,2.019972324,121115.9296875
1686731147.02073,2.016104221,121077.984375
1686731147.06081,2.012355089,121041.203125
1686731147.09991,2.008804321,121006.3671875
1686731147.13822,2.005519152,120974.140625
1686731147.17898,2.002540588,120944.921875
1686731147.21998,1.999890447,120918.9296875
1686731147.26091,1.997588873,120896.34375
1686731147.30093,1.995645165,120877.28125
1686731147.34086,1.994054794,120861.6796875
1686731147.38212,1.992812991,120849.4921875
1686731147.42073,1.99191165,120840.65625
1686731147.45952,1.991319299,120834.84375
1686731147.49808,1.991007924,120831.7890625
1686731147.53793,1.990939975,120831.125
1686731147.57824,1.991090655,120832.6015625
1686731147.6185,1.991437793,120836.0078125
1686731147.66043,1.99193716,120840.90625
1686731147.70086,1.992556453,120846.9765625
1686731147.74076,1.993259668,120853.875
1686731147.78079,1.994023442,120861.3671875
1686731147.82014,1.994832039,120869.3046875
1686731147.86078,1.995656133,120877.390625
1686731147.90013,1.996472955,120885.3984375
1686731147.94089,1.997261167,120893.1328125
1686731147.98102,1.998007536,120900.453125
1686731148.02073,1.998704076,120907.2890625
1686731148.06102,1.999340057,120913.5234375
1686731148.0999,1.999907851,120919.09375
1686731148.14085,2.000402927,120923.953125
1686731148.18083,2.000822783,120928.0703125
1686731148.2208,2.001166821,120931.4453125
1686731148.26084,2.001438141,120934.109375
1686731148.30089,2.00164032,120936.09375
1686731148.34069,2.001778841,120937.453125
1686731148.3818,2.001857758,120938.2265625
1686731148.42043,2.001880407,120938.4453125
1686731148.46102,2.001855612,120938.203125
1686731148.5,2.001790524,120937.5625
1686731148.54083,2.001693487,120936.6171875
1686731148.58099,2.001570463,120935.40625
