stamp,angular_velocity/x,angular_velocity/y,angular_velocity/z,linear_acceleration/x,linear_acceleration/y,linear_acceleration/z,pitch
1684869329.78153,-0.00235749,0.00116344,-0.00119484,-0.48116371,-0.518208325,9.687821388,-0.049067976
1684869329.82166,-0.00100078,0.00091813,-0.00102159,-0.514752507,-0.626759887,9.643966675,-0.052496332
1684869329.86327,0.00046183,0.00056076,-0.00083819,-0.535767198,-0.708898425,9.617219925,-0.05464158
1684869329.90276,0.00191508,0.00021796,-0.00057589,-0.534757733,-0.733401895,9.629533768,-0.054538525
1684869329.94208,0.00329912,-0.00006853,-0.00029077,-0.544764936,-0.705456138,9.671774864,-0.055560175
1684869329.98214,0.00448878,-0.00030737,-0.00002918,-0.542898238,-0.595535398,9.728898048,-0.055369596
1684869330.02172,0.0054242,-0.00042375,0.00022225,-0.505475581,-0.451251626,9.812020302,-0.05154939
1684869330.06295,0.00601702,-0.00046834,0.00042679,-0.475073069,-0.227194533,9.855426788,-0.048446377
1684869330.10226,0.00626724,-0.00044587,0.0005752,-0.484850764,-0.02768562,9.936513901,-0.049444279
1684869330.14195,0.00622573,-0.00037975,0.00070018,-0.410404801,0.161543846,9.980619431,-0.041847565
1684869330.18168,0.00583219,-0.00025101,0.00076902,-0.38286075,0.30776602,10.025416374,-0.039037514
1684869330.22166,0.00510501,-0.00013905,0.00078248,-0.353747636,0.436834484,10.070288658,-0.036067721
1684869330.26119,0.00420606,-0.00003523,0.00075421,-0.33876887,0.548276722,10.070144653,-0.034539882
1684869330.30254,0.0032193,0.00006886,0.00069349,-0.34321028,0.551361024,10.051399231,-0.034992898
1684869330.34303,0.00228317,0.00013082,0.00062377,-0.344540089,0.573274612,10.000638008,-0.035128538
1684869330.38273,0.00141655,0.00016413,0.0005264,-0.360913157,0.558920741,9.9498806,-0.036798637
1684869330.42158,0.00060542,0.00017368,0.00039197,-0.384175926,0.565745115,9.892560959,-0.039171681
1684869330.46167,-0.00015945,0.00015956,0.00023913,-0.404958487,0.603913009,9.811215401,-0.041291905
1684869330.50212,-0.00081308,0.00012106,-0.00002022,-0.404203027,0.610426486,9.793855667,-0.04121483
1684869330.54279,-0.00192652,-0.00042316,-0.00029789,-0.51249218,0.402818054,9.189178467,-0.052265605
1684869330.58207,-0.00428939,-0.00060989,-0.00056548,-0.440543592,0.585997999,9.683252335,-0.044922712
1684869330.62199,-0.00470174,-0.00064641,-0.00081598,-0.441070229,0.523400128,9.868711472,-0.044976449
1684869330.6617,-0.00491933,-0.0006603,-0.00103885,-0.406192392,0.404915154,9.926323891,-0.041417793
1684869330.70244,-0.00509987,-0.00134115,-0.00099128,-0.468344033,-0.084222488,9.335232735,-0.047759646
1684869330.74792,-0.00512517,-0.00168461,-0.0009977,-0.373624265,0.213291466,9.784090042,-0.038095275
1684869330.78319,-0.0048128,-0.0021368,-0.00093834,-0.378847867,0.095962033,9.610222816,-0.038628145
1684869330.82277,-0.00641555,-0.00262658,-0.00093808,-0.172459334,0.15170826,9.097084999,-0.017580858
1684869330.86208,-0.01180512,-0.00298451,-0.001197,-0.151696697,-0.235373423,9.889479637,-0.015464092
1684869330.90186,-0.016314261,-0.00338012,-0.00130739,-0.255147636,-0.669004738,9.54818821,-0.026011867
1684869330.94253,-0.016377199,-0.00370222,-0.00096074,-0.29442969,-1.219957232,9.461636543,-0.030017728
1684869330.9831,-0.01564757,-0.00400515,-0.00038232,-0.446687996,-1.750192881,9.503035545,-0.045549694
1684869331.0227,-0.0159334,-0.00433406,0.00009931,0.133654326,-2.28254962,9.46452713,0.013624716
1684869331.0614,-0.01492116,-0.00470959,0.00054805,0.132032856,-2.207857847,9.148714066,0.013459413
1684869331.10171,-0.01199862,-0.0050943,0.00097721,0.396701038,-2.220983028,8.953317642,0.040449463
1684869331.1417,-0.00969628,-0.00537887,0.0011456,0.45834583,-2.396025896,9.033800125,0.046739323
1684869331.1821,-0.00572821,-0.00557788,0.00131701,0.627342224,-2.505894899,8.919345856,0.063992926
1684869331.22299,-0.0017046,-0.00564765,0.0014222,0.584625483,-2.490807056,8.910727501,0.059630183
1684869331.26268,0.00214393,-0.00561468,0.00143834,0.926680028,-2.515823364,9.13734436,0.094603848
1684869331.30269,0.00566364,-0.00553832,0.00135208,1.061530232,-2.351290464,9.09969902,0.108421288
1684869331.34214,0.00759866,-0.00537745,0.00111729,1.24363625,-2.366204262,9.371660233,0.127114342
1684869331.38159,0.01019198,-0.00520712,0.00089594,1.275675535,-2.285429716,9.409574509,0.130407588
1684869331.42174,0.01144118,-0.0049812,0.00057213,1.105981231,-2.02869916,9.318888664,0.112980391
1684869331.46227,0.01474786,-0.00495022,0.00047296,1.117019653,-1.773051262,9.236150742,0.114112905
1684869331.50153,0.01687162,-0.0049383,0.00035545,1.272450924,-1.554536104,9.295469284,0.130076074
1684869331.542,0.01433696,-0.00481638,-0.00005776,1.530850172,-1.276067257,9.791713715,0.156690353
1684869331.58206,0.0119233,-0.00458793,-0.00039759,1.638007164,-0.951540947,9.826527596,0.167758976
1684869331.62253,0.01016765,-0.00435348,-0.00054265,1.695956111,-0.657829106,9.743721962,0.173753293
1684869331.66306,0.01011362,-0.00403136,-0.00034542,1.798012614,-0.336522549,9.711400986,0.184325652
1684869331.70289,0.0098093,-0.00364601,0.00000943,1.952689767,-0.433620065,9.886425018,0.200389391
1684869331.74268,0.00896299,-0.00315393,0.00047062,2.061497927,-0.01514111,10.045915604,0.211720712
1684869331.78228,0.00773651,-0.00266381,0.00093205,2.128484249,0.290041983,9.943648338,0.218710346
1684869331.82144,0.00637538,-0.00220069,0.00137519,2.197085619,0.488276929,9.938147545,0.225879775
1684869331.86155,0.00480519,-0.00182508,0.00168433,2.344451666,0.569635749,10.017908096,0.241321353
1684869331.90144,0.0030816,-0.00158899,0.00182279,2.284379721,0.784199893,9.901766777,0.235019919
1684869331.94425,0.00121886,-0.00143259,0.0017017,2.380766153,0.871743143,9.772413254,0.245135402
1684869331.98116,-0.0005196,-0.00149702,0.00132672,2.458011627,0.977125823,9.755805016,0.253260562
1684869332.0212,-0.00217034,-0.00168414,0.00076682,2.387164354,0.860274076,9.869509697,0.24580777
1684869332.06204,-0.00310253,-0.00190929,0.00013708,2.365217924,1.007481098,9.810926437,0.243501956
1684869332.1019,-0.00365936,-0.00217439,-0.00049716,2.419292927,0.640654743,9.653725624,0.249185788
1684869332.14322,-0.00393864,-0.00248188,-0.00094065,3.848529577,-0.890331626,11.012890816,0.403138084
1684869332.18361,-0.00419106,-0.00281446,-0.00103555,2.423710823,0.473509997,9.851858139,0.249650515
1684869332.22264,-0.00498721,-0.00259063,-0.00123649,2.395152092,0.181555286,10.103392601,0.246647337
1684869332.26209,-0.00629408,-0.00247245,-0.00124586,2.381515503,-0.175519213,9.806325912,0.245214143
1684869332.30168,-0.0086376,-0.00218651,-0.00141022,2.223017931,0.194119275,9.8511343,0.228592982
1684869332.3457,-0.01114341,-0.00178381,-0.00143041,2.321152687,-0.557679296,9.616470337,0.238876188
1684869332.38212,-0.01202751,-0.00155957,-0.00148292,2.421470642,-0.504621506,9.578338623,0.249414859
1684869332.42314,-0.0125828,-0.00134594,-0.00137282,2.466375113,-1.0870713,9.593850136,0.254141301
1684869332.46224,-0.01275782,-0.00114001,-0.001314,2.49431181,-0.747471571,9.853347778,0.257084716
1684869332.50219,-0.01209877,-0.00101394,-0.00120852,2.255486012,-1.09815073,9.540520668,0.231992423
1684869332.54497,-0.01110648,-0.00096929,-0.0011072,2.019121647,-1.427270174,9.089735985,0.207304433
1684869332.58284,-0.00960887,-0.00092314,-0.00093644,2.038460255,-1.446738958,9.334303856,0.209319308
1684869332.62286,-0.00821824,-0.00095095,-0.00083008,1.918815136,-1.995149851,9.291790009,0.196867062
1684869332.66272,-0.00682269,-0.00093703,-0.00073338,1.504086852,-1.84929502,8.828891754,0.153928948
1684869332.70231,-0.00537198,-0.00100729,-0.00066855,1.750545979,-2.064056873,9.033144951,0.179405914
1684869332.74272,-0.00372606,-0.00101894,-0.00065079,1.665183663,-2.101945162,9.035317421,0.170569379
1684869332.78167,-0.00222885,-0.00111379,-0.00073451,1.774632812,-2.237235308,8.819447517,0.181901867
1684869332.82138,-0.00067166,-0.00126023,-0.00083178,1.923983574,-2.203480482,8.919962883,0.197404322
1684869332.86178,0.00075595,-0.00138259,-0.00092916,1.931498051,-2.200655699,8.854178429,0.198185556
1684869332.90269,0.00135805,-0.00151298,-0.00103532,2.011041164,-2.148950338,8.954382896,0.206462787
1684869332.94554,0.00159381,-0.00164981,-0.00110868,2.09382844,-2.190404415,8.990003586,0.21509288
1684869332.98191,0.00206616,-0.00176507,-0.00117306,2.10556078,-2.098684311,8.961531639,0.21631721
1684869333.02154,0.00231115,-0.00190659,-0.00124639,2.283013821,-1.983466506,9.022963524,0.23487675
1684869333.06295,0.00250523,-0.0020711,-0.00133811,2.314638376,-1.932426095,9.039613724,0.23819279
1684869333.10286,0.00273649,-0.00214274,-0.00139342,2.376544952,-1.753874898,8.960453987,0.244691871
1684869333.14279,0.00284283,-0.00219933,-0.00140695,2.446710825,-1.76292479,8.893769264,0.252070819
1684869333.18226,0.00294458,-0.00222291,-0.00135569,2.554681301,-1.717421174,8.930829048,0.26345308
1684869333.22176,0.00311112,-0.00227011,-0.00129031,2.541677237,-1.834853768,8.885812759,0.262080369
1684869333.26204,0.00357425,-0.00233804,-0.00123889,2.635066271,-1.645242214,8.924681664,0.271949937
1684869333.30278,0.00342143,-0.00231388,-0.00125759,2.830234528,-1.495857,8.997617722,0.292665128
1684869333.34427,0.0026055,-0.00228942,-0.00125269,2.81447196,-1.575321317,8.918457031,0.290987408
1684869333.38244,0.00148844,-0.00224941,-0.00132211,2.848585844,-1.37387681,9.039185524,0.294619455
1684869333.42232,0.00089561,-0.00215734,-0.00138298,3.066600323,-1.323298335,9.03362751,0.317928369
1684869333.46178,0.00054457,-0.00194124,-0.00137527,3.079175234,-1.335712433,8.848734856,0.319278144
1684869333.50175,0.00042009,-0.00182888,-0.00136217,3.153787136,-1.267821908,8.904847145,0.327299398
1684869333.54357,0.00166302,-0.00177253,-0.0013215,3.146569729,-1.206863165,8.825997353,0.326522535
1684869333.5827,0.00265627,-0.00157937,-0.00124001,3.265766144,-1.227450371,9.00609684,0.339379181
1684869333.6223,0.00194402,-0.00129098,-0.00121875,3.4053936,-1.101832986,9.000266075,0.354514315
1684869333.66197,0.00041568,-0.00102988,-0.00129907,3.337534904,-1.132357478,8.894796371,0.347148319
1684869333.70147,-0.00055272,-0.00093501,-0.00133649,3.355886459,-1.019749761,8.788387299,0.349138408
1684869333.74275,0.00009197,-0.0008928,-0.00128143,3.512885094,-1.089566588,8.656573296,0.366223859
1684869333.78234,0.00122889,-0.00072423,-0.00124164,3.462599516,-1.072260618,8.896374702,0.360739584
1684869333.82314,0.00202769,-0.00050702,-0.00124392,3.588361025,-0.99672842,8.901918411,0.37447723
1684869333.86242,0.0023858,-0.00034717,-0.00123611,3.489287615,-0.819737971,8.909184456,0.363648832
1684869333.90241,0.00266022,-0.00020517,-0.00126093,3.589157343,-0.719964504,8.762561798,0.37456445
1684869333.94271,0.00260077,-0.00005231,-0.00132236,3.643079758,-0.739479661,8.899942398,0.380477527
1684869333.98172,0.00283856,0.00009912,-0.00134743,3.573379517,-0.754443705,8.893898964,0.372836876
1684869334.02181,0.00308126,0.00035257,-0.00138175,3.521298647,-0.664507747,8.946331978,0.367142585
1684869334.06149,0.00322621,0.00053708,-0.00140194,3.699191093,-0.49544996,9.064679146,0.386645527
1684869334.10262,0.0032876,0.00071785,-0.00137558,3.574062109,-0.43585676,8.865192413,0.372911591
1684869334.14518,0.0033256,0.00086613,-0.00138148,3.652633667,-0.41670984,9.00965786,0.381526652
1684869334.18213,0.00338166,0.00094008,-0.00137749,3.687297821,-0.366648287,8.857696533,0.385336882
1684869334.22209,0.00366042,0.00102154,-0.00139226,3.5532794,-0.275746137,8.997141838,0.370637727
1684869334.26218,0.00377699,0.00111322,-0.00143956,3.640692711,-0.078286856,9.060250282,0.380215472
1684869334.30206,0.00357782,0.00115184,-0.00143513,3.659804106,0.086858101,9.059177399,0.382314336
1684869334.34253,0.00393087,0.00125616,-0.00142224,3.519075632,0.03713154,9.169995308,0.366899809
1684869334.38217,0.00332518,0.00151075,-0.00148443,3.649275541,0.206833303,9.276481628,0.381157843
1684869334.4217,0.00299794,0.0018098,-0.00154715,3.453189611,0.268544346,9.263690948,0.359714581
1684869334.46144,0.0027265,0.0021317,-0.00160079,3.626924992,0.403786123,9.195724487,0.378704555
1684869334.50139,0.00245914,0.00237474,-0.00164448,3.472771645,0.499997705,9.252529144,0.361848062
1684869334.54177,0.00201563,0.00260014,-0.00172976,3.421632051,0.399180055,9.321135521,0.356279948
1684869334.58334,0.00164148,0.00282082,-0.00175927,3.422590971,0.553263485,9.390851974,0.35638425
1684869334.6218,0.00137854,0.00302675,-0.00179336,3.360243559,0.643247068,9.457579613,0.349611114
1684869334.66178,0.00137514,0.00321695,-0.00181817,3.268805981,0.667028308,9.433649063,0.339707815
1684869334.70177,0.00143638,0.00336489,-0.00184733,3.320029259,0.597354352,9.515943527,0.345251297
1684869334.74387,0.00144656,0.00349918,-0.0018997,3.210253239,0.749785423,9.46765995,0.333384387
1684869334.78204,0.00134993,0.00359699,-0.00192379,3.21385026,0.731819868,9.643789291,0.333772447
1684869334.82176,0.00132242,0.00364819,-0.00197538,3.119711161,0.946311176,9.675843239,0.323633338
1684869334.86137,0.00104488,0.00372862,-0.00200839,3.067172527,0.80610162,9.658179283,0.317989775
1684869334.9018,0.00090617,0.00378987,-0.00203181,2.962991953,0.841501296,9.668663979,0.30682969
1684869334.94315,0.00075812,0.00384183,-0.00206937,2.859085321,0.939573705,9.760225296,0.295738121
1684869334.98298,0.00069821,0.0038743,-0.00212536,2.742206335,1.062314391,9.740309715,0.283306369
1684869335.02253,0.00042034,0.00392266,-0.00213025,2.737185001,1.081263304,9.745604515,0.2827733
1684869335.06169,0.00011465,0.00398536,-0.00211201,2.729140282,0.971896827,9.81140995,0.281919438
1684869335.10195,0.00018895,0.00399393,-0.00213536,2.571822643,0.983929753,9.867406845,0.2652633
1684869335.14274,0.00026796,0.00402582,-0.00214963,2.57263875,1.136037111,9.867292404,0.265349508
1684869335.1828,0.00009679,0.00408261,-0.00216859,2.448117971,0.90718472,9.943225861,0.252218943
1684869335.22157,0.00005049,0.00409225,-0.00216399,2.283418894,1.070751309,10.010092735,0.234919208
1684869335.26134,-0.0000975,0.00412999,-0.00222463,2.275995493,1.169083357,9.95831871,0.234141191
1684869335.30261,-0.00008813,0.00414849,-0.00222945,2.066675663,1.173868895,9.92770195,0.2122606
1684869335.34337,-0.00022263,0.00414968,-0.00219219,2.117854595,1.07291925,10.104002953,0.217600487
1684869335.38207,-0.00018536,0.00416294,-0.00225275,1.970165372,1.065068007,10.113210678,0.20220751
1684869335.42206,-0.00037074,0.00417819,-0.00225743,1.92284584,1.278591633,10.20939827,0.19728605
1684869335.46305,-0.00054675,0.00420256,-0.00227147,1.713019371,1.287079692,10.033880234,0.175519533
1684869335.50269,-0.00069054,0.00418488,-0.00228518,1.66453898,1.101498365,10.200201988,0.170502694
1684869335.54228,-0.00057905,0.00422117,-0.00230415,1.653638601,1.17627883,10.288550377,0.169375305
1684869335.58203,-0.00029585,0.00426069,-0.0023232,1.511487365,1.247991443,10.238652229,0.154692404
1684869335.6227,-0.00023556,0.004255,-0.0023697,1.424419403,1.258636951,10.184132576,0.145715874
1684869335.66288,-0.00015665,0.00424967,-0.0024394,1.349030614,1.15699029,10.329608917,0.137953011
1684869335.70169,-0.00024941,0.0042498,-0.00247656,1.265266538,1.278878808,10.390768051,0.129337517
1684869335.74203,-0.00028654,0.00421791,-0.00248552,1.108590961,1.254102349,10.27924633,0.113248129
1684869335.78156,0.00006085,0.00414989,-0.0025456,1.084095359,1.213756561,10.253350258,0.110735384
1684869335.82176,-0.00013363,0.00418835,-0.00255511,0.973826647,1.204980731,10.324454308,0.099432536
1684869335.8633,-0.00023086,0.0042075,-0.00257381,0.823841572,1.459096074,10.340904236,0.0840788
1684869335.903,-0.00005897,0.00424306,-0.00262067,0.716109276,1.335551977,10.293744087,0.073062874
1684869335.94271,-0.0002769,0.00423525,-0.00262511,0.657394826,1.161043048,10.290988922,0.067062982
1684869335.98184,-0.0003742,0.00424036,-0.00266695,0.632876933,1.24200213,10.447932243,0.064558283
1684869336.02322,-0.0001842,0.0042204,-0.00266688,0.492947012,1.327709317,10.472510338,0.050270611
1684869336.06255,-0.0001147,0.00419641,-0.00269924,0.385640323,1.211598516,10.315120697,0.039321072
1684869336.10272,-0.00014276,0.00415941,-0.00271753,0.265218586,1.337488413,10.396133423,0.027038828
1684869336.14595,0.00011709,0.00419002,-0.00272258,0.150326461,1.363770723,10.358587265,0.015324398
1684869336.18158,0.00026543,0.00417489,-0.00273647,0.124666288,1.190573335,10.433838844,0.012708424
1684869336.22156,0.00039938,0.00410447,-0.00271738,-0.039899059,1.291104913,10.364722252,-0.004067194
1684869336.26131,0.00123823,0.00406183,-0.00264313,-0.152797773,1.464959383,10.34863472,-0.015576346
1684869336.30213,0.00196584,0.0040245,-0.00259211,-0.287309647,1.350745201,10.223468781,-0.029291614
1684869336.34349,0.00309652,0.00391923,-0.00254073,-0.326053619,1.358601928,10.242348671,-0.033242985
1684869336.38263,0.00303909,0.00363168,-0.00255225,-0.418706626,1.551035523,10.32324791,-0.042694583
1684869336.42205,0.00269427,0.00336474,-0.0025824,-0.558247566,1.657761216,10.239197731,-0.056936728
1684869336.46156,0.00247487,0.00312967,-0.00256174,-0.57311058,1.697232366,10.215539932,-0.058454341
1684869336.50612,0.00214374,0.00282113,-0.00253109,-0.719462216,1.604226232,10.165828705,-0.073405581
1684869336.54288,0.00228148,0.0026208,-0.00249699,-0.818118572,1.797396302,10.203505516,-0.083493362
1684869336.58232,0.00147278,0.00231075,-0.00252186,-0.860165596,1.833375692,10.068966866,-0.087795272
1684869336.62175,0.0015125,0.00198086,-0.00250518,-0.882826984,1.685839534,10.181364059,-0.090114472
1684869336.66144,0.00154703,0.00158634,-0.00245546,-0.971420109,1.904886484,9.946187019,-0.099186006
1684869336.70218,0.00145669,0.00124841,-0.0024201,-0.974387705,1.922467947,10.033563614,-0.099490012
1684869336.74261,0.0027294,0.00090596,-0.00228318,-0.997367203,1.882714152,9.817728996,-0.101844389
1684869336.78316,0.00389996,0.00053627,-0.00216457,-1.073165298,1.992069006,9.720848083,-0.109614412
1684869336.82245,0.00521465,0.00023105,-0.00197686,-1.069235921,2.090505123,9.787717819,-0.109211455
1684869336.86183,0.00464688,-0.00005197,-0.00186265,-1.074773431,2.207382441,9.773427963,-0.109779332
1684869336.90165,0.00385209,-0.00034788,-0.00184117,-1.09536624,2.209909916,9.70947361,-0.111891457
1684869336.9432,0.00332207,-0.00056201,-0.00180657,-1.080686569,2.431556225,9.665266991,-0.110385769
1684869336.98256,0.00319085,-0.00076947,-0.0017211,-1.084647775,2.402709007,9.683107376,-0.110792043
1684869337.02212,0.00330568,-0.00091829,-0.00164091,-1.029061913,2.510160685,9.592290878,-0.105092619
1684869337.06144,0.00311436,-0.001093,-0.0016022,-1.052539229,2.593323231,9.576775551,-0.107499407
1684869337.10124,0.00308111,-0.00121799,-0.00157789,-1.089585423,2.742162943,9.466585159,-0.111298491
1684869337.14266,0.00296002,-0.00130536,-0.00158175,-0.981762886,2.651680946,9.489107132,-0.100245579
1684869337.18281,0.00237109,-0.00132929,-0.00162305,-1.047988534,2.736270666,9.543475151,-0.107032842
1684869337.22273,0.00205054,-0.00141973,-0.00161284,-0.962500334,2.812726021,9.450913429,-0.098272303
1684869337.26264,0.00185058,-0.00150629,-0.00157481,-1.00670135,2.889995098,9.368913651,-0.102800885
1684869337.30233,0.00170173,-0.00159837,-0.00161114,-0.87195015,2.841534376,9.373366356,-0.089001261
1684869337.34229,0.00147903,-0.00162475,-0.00162939,-0.899687111,2.806104898,9.384837151,-0.091840277
