stamp,altitude,depth,pressure,temperature
1684869329.78149,53.561992645,-0.063757166,100360,18.239999771
1684869329.82162,41.821990967,-0.04981029,100500,18.239999771
1684869329.86321,53.561992645,-0.063757166,100360,18.239999771
1684869329.90272,53.561992645,-0.063757166,100360,18.229999542
1684869329.94203,53.561992645,-0.063757166,100360,18.239999771
1684869329.98209,53.561992645,-0.063757166,100360,18.239999771
1684869330.02168,41.821990967,-0.04981029,100500,18.239999771
1684869330.0629,53.561992645,-0.063757166,100360,18.229999542
1684869330.10222,41.821990967,-0.04981029,100500,18.229999542
1684869330.1419,53.561992645,-0.063757166,100360,18.239999771
1684869330.18163,53.561992645,-0.063757166,100360,18.239999771
1684869330.22161,41.821990967,-0.04981029,100500,18.239999771
1684869330.26114,53.561992645,-0.063757166,100360,18.219999313
1684869330.30249,41.821990967,-0.04981029,100500,18.229999542
1684869330.34299,41.821990967,-0.04981029,100500,18.229999542
1684869330.38268,41.821990967,-0.04981029,100500,18.229999542
1684869330.42153,41.821990967,-0.04981029,100500,18.239999771
1684869330.46161,41.821990967,-0.04981029,100500,18.229999542
1684869330.50208,41.821990967,-0.04981029,100500,18.239999771
1684869330.54274,53.561992645,-0.063757166,100360,18.239999771
1684869330.58202,41.821990967,-0.04981029,100500,18.229999542
1684869330.62194,53.561992645,-0.063757166,100360,18.229999542
1684869330.66165,53.561992645,-0.063757166,100360,18.229999542
1684869330.7024,41.821990967,-0.04981029,100500,18.239999771
1684869330.74787,41.821990967,-0.04981029,100500,18.239999771
1684869330.78314,53.561992645,-0.063757166,100360,18.229999542
1684869330.82273,53.561992645,-0.063757166,100360,18.219999313
1684869330.86204,41.821990967,-0.04981029,100500,18.239999771
1684869330.90179,41.821990967,-0.04981029,100500,18.239999771
1684869330.94248,17.544509888,-0.020920321,100790,18.239999771
1684869330.98304,16.708433151,-0.019924115,100800,18.229999542
1684869331.02263,16.708433151,-0.019924115,100800,18.229999542
1684869331.06136,17.544509888,-0.020920321,100790,18.239999771
1684869331.10166,-7.510106564,0.008965852,101090,18.229999542
1684869331.14164,-7.510106564,0.008965852,101090,18.239999771
1684869331.18206,-19.181962967,0.022912733,101230,18.229999542
1684869331.22294,-31.672456741,0.037855819,101380,18.239999771
1684869331.26263,-31.672456741,0.037855819,101380,18.239999771
1684869331.30264,-31.672456741,0.037855819,101380,18.239999771
1684869331.34209,-44.147994995,0.052798908,101530,18.239999771
1684869331.38154,-55.778903961,0.066745788,101670,18.239999771
1684869331.42167,-68.226638794,0.081688873,101820,18.229999542
1684869331.46223,-68.226638794,0.081688873,101820,18.239999771
1684869331.50148,-79.829742432,0.095635757,101960,18.239999771
1684869331.54194,-92.247825623,0.110578842,102110,18.239999771
1684869331.58201,-104.652145386,0.125521928,102260,18.239999771
1684869331.62248,-104.652145386,0.125521928,102260,18.239999771
1684869331.66302,-128.59072876,0.154411897,102550,18.239999771
1684869331.70284,-104.652145386,0.125521928,102260,18.239999771
1684869331.74264,-128.59072876,0.154411897,102550,18.239999771
1684869331.78223,-128.59072876,0.154411897,102550,18.239999771
1684869331.82139,-152.47454834,0.183301866,102840,18.239999771
1684869331.86152,-164.807571411,0.198244944,102990,18.239999771
1684869331.90139,-164.807571411,0.198244944,102990,18.239999771
1684869331.9442,-176.304885864,0.212191835,103130.0078125,18.239999771
1684869331.98112,-188.608856201,0.227134913,103280.0078125,18.239999771
1684869332.02114,-188.608856201,0.227134913,103280.0078125,18.239999771
1684869332.062,-212.355102539,0.256024897,103569.9921875,18.239999771
1684869332.10186,-200.079055786,0.241081804,103419.9921875,18.239999771
1684869332.14317,-212.355102539,0.256024897,103569.9921875,18.239999771
1684869332.18356,-200.079055786,0.241081804,103419.9921875,18.239999771
1684869332.22259,-224.617736816,0.27096796,103719.9921875,18.239999771
1684869332.26205,-236.049530029,0.284914851,103860,18.239999771
1684869332.30164,-236.049530029,0.284914851,103860,18.239999771
1684869332.34565,-248.283477783,0.299857944,104010,18.239999771
1684869332.38207,-248.283477783,0.299857944,104010,18.219999313
1684869332.42309,-260.503143311,0.314801037,104160,18.229999542
1684869332.4622,-271.895843506,0.328747898,104300,18.239999771
1684869332.50214,-271.895843506,0.328747898,104300,18.239999771
1684869332.54491,-284.089019775,0.343690991,104450,18.239999771
1684869332.58279,-284.089019775,0.343690991,104450,18.239999771
1684869332.62281,-295.456115723,0.357637882,104590,18.229999542
1684869332.66267,-307.620910645,0.372580975,104740,18.239999771
1684869332.70226,-307.620910645,0.372580975,104740,18.219999313
1684869332.74266,-319.771636963,0.387524039,104890,18.229999542
1684869332.78162,-319.771636963,0.387524039,104890,18.239999771
1684869332.82133,-331.100128174,0.401470929,105030.0078125,18.239999771
1684869332.86174,-343.223693848,0.416414022,105180.0078125,18.239999771
1684869332.90265,-354.525939941,0.430360883,105319.9921875,18.239999771
1684869332.94548,-366.623443604,0.445303977,105469.9921875,18.239999771
1684869332.98186,-378.706085205,0.46024707,105619.9921875,18.239999771
1684869333.0215,-389.971160889,0.47419396,105760,18.239999771
1684869333.0629,-402.026977539,0.489137024,105910,18.219999313
1684869333.1028,-414.069946289,0.504080117,106060,18.229999542
1684869333.14275,-425.297210693,0.518027008,106200,18.239999771
1684869333.18222,-437.312561035,0.532970071,106350,18.239999771
1684869333.22171,-437.312561035,0.532970071,106350,18.239999771
1684869333.262,-448.515075684,0.546916962,106490,18.239999771
1684869333.30274,-471.681793213,0.575806916,106780.0078125,18.239999771
1684869333.34422,-483.645294189,0.590750039,106930.0078125,18.239999771
1684869333.38238,-495.594238281,0.605693102,107080.0078125,18.239999771
1684869333.42228,-506.733917236,0.619639993,107219.9921875,18.239999771
1684869333.46174,-529.773010254,0.648529947,107510,18.239999771
1684869333.5017,-553.554138184,0.678416133,107810,18.239999771
1684869333.54352,-576.491210938,0.707306087,108100,18.25
1684869333.58265,-576.491210938,0.707306087,108100,18.239999771
1684869333.62225,-611.197998047,0.751139164,108540,18.239999771
1684869333.66192,-611.197998047,0.751139164,108540,18.25
1684869333.70142,-645.790161133,0.794972241,108980.0078125,18.239999771
1684869333.74266,-668.527893066,0.823862195,109269.9921875,18.239999771
1684869333.78226,-691.21685791,0.852752149,109560,18.25
1684869333.82308,-691.21685791,0.852752149,109560,18.25
1684869333.86239,-736.450195313,0.910532057,110140,18.25
1684869333.90237,-748.116577148,0.92547518,110290,18.25
1684869333.94266,-770.635681152,0.954365134,110580.0078125,18.25
1684869333.98167,-793.107055664,0.983255088,110869.9921875,18.25
1684869334.02177,-816.30267334,1.013141274,111169.9921875,18.25
1684869334.06145,-816.30267334,1.013141274,111169.9921875,18.25
1684869334.10257,-827.110534668,1.027088165,111310,18.25
1684869334.14511,-872.536437988,1.085864305,111900,18.25
1684869334.1821,-883.28717041,1.099811196,112040,18.25
1684869334.22204,-906.287658691,1.129697323,112340,18.25
1684869334.26214,-928.473876953,1.158587337,112630.0078125,18.25
1684869334.30202,-950.612976074,1.18747735,112919.9921875,18.25
1684869334.34247,-972.707946777,1.216367245,113210,18.260000229
1684869334.38212,-994.756164551,1.245257258,113500,18.260000229
1684869334.42166,-1006.142272949,1.260200262,113650,18.260000229
1684869334.4614,-1039.472900391,1.304033399,114090,18.25
1684869334.50134,-1061.383544922,1.332923293,114380.0078125,18.260000229
1684869334.54171,-1116.339111328,1.405646324,115110,18.25
1684869334.58326,-1105.821289063,1.391699433,114969.9921875,18.260000229
1684869334.62176,-1127.597045898,1.420589447,115260,18.260000229
1684869334.66174,-1149.327636719,1.449479461,115550,18.260000229
