__time,/riptide_1/imu_broadcaster/imu_status/angular_velocity/x,/riptide_1/imu_broadcaster/imu_status/angular_velocity/y,/riptide_1/imu_broadcaster/imu_status/angular_velocity/z,/riptide_1/imu_broadcaster/imu_status/header/stamp,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/x,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/y,/riptide_1/imu_broadcaster/imu_status/linear_acceleration/z,/riptide_1/pressure_broadcaster/pressure_status/altitude,/riptide_1/pressure_broadcaster/pressure_status/depth,/riptide_1/pressure_broadcaster/pressure_status/header/stamp,/riptide_1/pressure_broadcaster/pressure_status/pressure,/riptide_1/pressure_broadcaster/pressure_status/temperature,/riptide_1/tail_broadcaster/actuators_status/d_fin,/riptide_1/tail_broadcaster/actuators_status/header/stamp,/riptide_1/tail_broadcaster/actuators_status/p_fin,/riptide_1/tail_broadcaster/actuators_status/s_fin,/riptide_1/tail_broadcaster/actuators_status/thruster,/riptide_1/tail_broadcaster/multiplexer_status/automatic,/riptide_1/tail_broadcaster/multiplexer_status/header/stamp,/riptide_1/tail_broadcaster/multiplexer_status/remaining_time,/riptide_1/tail_broadcaster/rc_status/axes.0,/riptide_1/tail_broadcaster/rc_status/axes.1,/riptide_1/tail_broadcaster/rc_status/axes.2,/riptide_1/tail_broadcaster/rc_status/axes.3,/riptide_1/tail_broadcaster/rc_status/axes.4,/riptide_1/tail_broadcaster/rc_status/axes.5,/riptide_1/tail_broadcaster/rc_status/header/stamp,pitch_from_accel
1684869329.78149,,,,,,,,53.561992645,-0.063757166,1684869329.78149,100360,18.239999771,,,,,,,,,,,,,,,,
1684869329.78151,,,,,,,,,,,,,0,1684869329.78151,0,0,0,,,,,,,,,,,
1684869329.78152,,,,,,,,,,,,,,,,,,,,,-1,0.575999975,0,0.008,0.136000007,-0.143999994,1684869329.78152,
1684869329.78152,,,,,,,,,,,,,,,,,,0,1684869329.78152,0,,,,,,,,
1684869329.78153,-0.00235749,0.00116344,-0.00119484,1684869329.78153,-0.48116371,-0.518208325,9.687821388,,,,,,,,,,,,,,,,,,,,,-0.049067976
1684869329.82162,,,,,,,,41.821990967,-0.04981029,1684869329.82162,100500,18.239999771,,,,,,,,,,,,,,,,
1684869329.82164,,,,,,,,,,,,,0,1684869329.82164,0,0,0,,,,,,,,,,,
1684869329.82165,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869329.82165,
1684869329.82166,,,,,,,,,,,,,,,,,,0,1684869329.82166,0,,,,,,,,
1684869329.82167,-0.00100078,0.00091813,-0.00102159,1684869329.82166,-0.514752507,-0.626759887,9.643966675,,,,,,,,,,,,,,,,,,,,,-0.052496332
1684869329.86321,,,,,,,,53.561992645,-0.063757166,1684869329.86321,100360,18.239999771,,,,,,,,,,,,,,,,
1684869329.86323,,,,,,,,,,,,,0,1684869329.86323,0,0,0,,,,,,,,,,,
1684869329.86324,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.143999994,1684869329.86324,
1684869329.86325,,,,,,,,,,,,,,,,,,0,1684869329.86325,0,,,,,,,,
1684869329.86327,0.00046183,0.00056076,-0.00083819,1684869329.86327,-0.535767198,-0.708898425,9.617219925,,,,,,,,,,,,,,,,,,,,,-0.05464158
1684869329.90272,,,,,,,,53.561992645,-0.063757166,1684869329.90272,100360,18.229999542,,,,,,,,,,,,,,,,
1684869329.90273,,,,,,,,,,,,,0,1684869329.90273,0,0,0,,,,,,,,,,,
1684869329.90274,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0.008,0,0.136000007,-0.143999994,1684869329.90274,
1684869329.90275,,,,,,,,,,,,,,,,,,0,1684869329.90275,0,,,,,,,,
1684869329.90276,0.00191508,0.00021796,-0.00057589,1684869329.90276,-0.534757733,-0.733401895,9.629533768,,,,,,,,,,,,,,,,,,,,,-0.054538525
1684869329.94203,,,,,,,,53.561992645,-0.063757166,1684869329.94203,100360,18.239999771,,,,,,,,,,,,,,,,
1684869329.94205,,,,,,,,,,,,,0,1684869329.94205,0,0,0,,,,,,,,,,,
1684869329.94207,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.143999994,1684869329.94207,
1684869329.94207,,,,,,,,,,,,,,,,,,0,1684869329.94207,0,,,,,,,,
1684869329.94208,0.00329912,-0.00006853,-0.00029077,1684869329.94208,-0.544764936,-0.705456138,9.671774864,,,,,,,,,,,,,,,,,,,,,-0.055560175
1684869329.98209,,,,,,,,53.561992645,-0.063757166,1684869329.98209,100360,18.239999771,,,,,,,,,,,,,,,,
1684869329.98211,,,,,,,,,,,,,0,1684869329.98211,0,0,0,,,,,,,,,,,
1684869329.98212,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869329.98212,
1684869329.98213,,,,,,,,,,,,,,,,,,0,1684869329.98213,0,,,,,,,,
1684869329.98214,0.00448878,-0.00030737,-0.00002918,1684869329.98214,-0.542898238,-0.595535398,9.728898048,,,,,,,,,,,,,,,,,,,,,-0.055369596
1684869330.02168,,,,,,,,41.821990967,-0.04981029,1684869330.02168,100500,18.239999771,,,,,,,,,,,,,,,,
1684869330.0217,,,,,,,,,,,,,0,1684869330.0217,0,0,0,,,,,,,,,,,
1684869330.02171,,,,,,,,,,,,,,,,,,,,,-1,0.600000024,0,0.008,0.128000006,-0.128000006,1684869330.02171,
1684869330.02172,,,,,,,,,,,,,,,,,,0,1684869330.02172,0,,,,,,,,
1684869330.02172,0.0054242,-0.00042375,0.00022225,1684869330.02172,-0.505475581,-0.451251626,9.812020302,,,,,,,,,,,,,,,,,,,,,-0.05154939
1684869330.0629,,,,,,,,53.561992645,-0.063757166,1684869330.0629,100360,18.229999542,,,,,,,,,,,,,,,,
1684869330.06292,,,,,,,,,,,,,0,1684869330.06292,0,0,0,,,,,,,,,,,
1684869330.06293,,,,,,,,,,,,,,,,,,,,,-1,0.592000008,0,0.008,0.136000007,-0.143999994,1684869330.06293,
1684869330.06294,,,,,,,,,,,,,,,,,,0,1684869330.06294,0,,,,,,,,
1684869330.06295,0.00601702,-0.00046834,0.00042679,1684869330.06295,-0.475073069,-0.227194533,9.855426788,,,,,,,,,,,,,,,,,,,,,-0.048446377
